Order ID,Customer ID,Product ID,Sales Representative,Order Date,Quantity Sold,Unit Price,Revenue,Discount,Profit,Sales Status
ORD-00025,CUST-0087,PROD-0042,Michael Brown,2023-07-14,15,75.65,851.08,0.25,207.29,Pending
ORD-00026,CUST-0184,PROD-0050,Emily Davis,2022-03-06,2,93.32,173.58,0.07,19.64,Completed
ORD-00027,CUST-0239,PROD-0020,Emily Davis,2022-11-20,18,428.01,6779.73,0.12,752.46,Cancelled
ORD-00028,CUST-0221,PROD-0050,James Anderson,2023-01-01,11,63.47,649.33,0.07,220.64,Refunded
ORD-00029,CUST-0113,PROD-0025,David Wilson,2024-02-01,6,673.46,3555.85,0.12,886.32,Completed
ORD-00030,CUST-0109,PROD-0006,Sarah Johnson,2024-01-15,6,529.93,2734.43,0.14,536.94,Cancelled
ORD-00031,CUST-0076,PROD-0020,Ashley Taylor,2023-11-08,14,415.48,5584.06,0.04,1302.05,Completed
ORD-00032,CUST-0223,PROD-0023,John Smith,2024-01-15,14,94.65,1232.38,0.07,485.57,Completed
ORD-00033,CUST-0164,PROD-0026,Ashley Taylor,2023-11-19,6,253.51,1156.0,0.24,165.12,Completed
ORD-00034,CUST-0018,PROD-0016,John Smith,2022-05-10,12,57.66,629.59,0.09,242.29,Pending
ORD-00035,CUST-0116,PROD-0024,James Anderson,2023-11-27,3,61.46,158.58,0.14,41.05,Cancelled
ORD-00036,CUST-0072,PROD-0016,James Anderson,2023-10-28,1,61.64,50.54,0.18,12.62,Completed
ORD-00037,CUST-0199,PROD-0017,Ashley Taylor,2022-09-26,7,895.18,4699.67,0.25,872.6,Pending
ORD-00038,CUST-0035,PROD-0005,Jessica Martinez,2022-05-06,15,123.62,1390.78,0.25,477.25,Cancelled
ORD-00039,CUST-0017,PROD-0036,Michael Brown,2023-12-28,10,565.81,4469.93,0.21,1401.51,Cancelled
ORD-00040,CUST-0058,PROD-0008,Jessica Martinez,2023-06-05,5,898.96,4225.1,0.06,1048.7,Cancelled
ORD-00041,CUST-0206,PROD-0036,Ashley Taylor,2023-04-24,3,468.56,1377.57,0.02,302.3,Refunded
ORD-00042,CUST-0105,PROD-0037,Jessica Martinez,2024-02-27,11,213.15,1969.52,0.16,462.82,Pending
ORD-00043,CUST-0213,PROD-0050,James Anderson,2024-06-18,19,80.25,1448.5,0.05,564.74,Completed
ORD-00044,CUST-0032,PROD-0034,Emily Davis,2024-05-01,6,470.47,2709.89,0.04,1030.9,Cancelled
ORD-00045,CUST-0230,PROD-0019,David Wilson,2023-06-16,9,597.77,5110.93,0.05,1977.45,Pending
ORD-00046,CUST-0078,PROD-0040,Michael Brown,2023-10-03,17,32.1,458.34,0.16,127.21,Pending
ORD-00047,CUST-0160,PROD-0047,John Smith,2023-11-06,11,627.84,5455.93,0.21,1468.11,Completed
ORD-00048,CUST-0243,PROD-0042,James Anderson,2022-02-16,9,97.84,739.64,0.16,244.15,Completed
ORD-00049,CUST-0228,PROD-0041,James Anderson,2023-05-25,10,255.41,2247.64,0.12,767.36,Cancelled
ORD-00050,CUST-0019,PROD-0045,Jessica Martinez,2023-04-10,15,168.78,2278.47,0.1,545.31,Pending
ORD-00051,CUST-0221,PROD-0046,Jessica Martinez,2022-11-17,12,147.48,1344.99,0.24,187.26,Completed
ORD-00052,CUST-0062,PROD-0030,David Wilson,2022-11-23,15,639.6,9018.36,0.06,1163.76,Refunded
ORD-00053,CUST-0158,PROD-0027,Jessica Martinez,2024-06-03,6,626.6,3007.66,0.2,1143.29,Pending
ORD-00054,CUST-0041,PROD-0032,John Smith,2024-02-21,15,430.83,5686.97,0.12,1095.1,Completed
ORD-00055,CUST-0130,PROD-0030,David Wilson,2023-02-07,7,912.34,5428.4,0.15,622.08,Refunded
ORD-00056,CUST-0226,PROD-0042,James Anderson,2023-09-04,10,94.17,819.27,0.13,290.15,Pending
ORD-00057,CUST-0187,PROD-0024,Emily Davis,2022-09-28,12,72.27,858.55,0.01,99.03,Cancelled
ORD-00058,CUST-0074,PROD-0005,Sarah Johnson,2023-07-21,15,120.11,1459.31,0.19,268.39,Pending
ORD-00059,CUST-0101,PROD-0024,Michael Brown,2022-04-10,11,73.12,691.76,0.14,145.05,Pending
ORD-00060,CUST-0131,PROD-0026,Ashley Taylor,2023-09-09,2,269.12,532.87,0.01,167.36,Refunded
ORD-00061,CUST-0156,PROD-0033,David Wilson,2022-06-02,20,120.54,2217.87,0.08,483.24,Cancelled
ORD-00062,CUST-0213,PROD-0033,Jessica Martinez,2023-06-04,19,144.23,2548.57,0.07,878.55,Cancelled
ORD-00063,CUST-0029,PROD-0027,Emily Davis,2023-11-21,1,726.42,617.46,0.15,110.93,Completed
ORD-00064,CUST-0123,PROD-0011,Emily Davis,2023-08-21,20,185.88,3011.3,0.19,644.59,Completed
ORD-00065,CUST-0243,PROD-0045,James Anderson,2023-08-10,1,173.18,154.13,0.11,34.78,Pending
ORD-00066,CUST-0129,PROD-0050,John Smith,2023-02-25,16,82.25,1026.54,0.22,329.26,Pending
ORD-00067,CUST-0054,PROD-0036,Michael Brown,2023-06-16,16,514.61,7163.39,0.13,1390.6,Refunded
ORD-00068,CUST-0088,PROD-0035,Emily Davis,2023-06-30,9,101.81,778.86,0.15,122.81,Cancelled
ORD-00069,CUST-0077,PROD-0015,Ashley Taylor,2023-07-26,10,449.89,3644.14,0.19,1135.04,Cancelled
ORD-00070,CUST-0090,PROD-0036,James Anderson,2023-05-07,9,658.15,5508.67,0.07,1498.6,Refunded
ORD-00071,CUST-0089,PROD-0050,Sarah Johnson,2024-04-18,10,88.69,878.03,0.01,339.44,Cancelled
ORD-00072,CUST-0168,PROD-0017,David Wilson,2023-03-29,7,910.31,6053.56,0.05,1583.45,Pending
ORD-00073,CUST-0158,PROD-0048,Emily Davis,2022-04-22,8,74.35,588.86,0.01,218.79,Pending
ORD-00074,CUST-0026,PROD-0027,John Smith,2022-02-23,16,651.01,10103.63,0.03,3346.62,Pending
ORD-00075,CUST-0168,PROD-0031,David Wilson,2023-02-21,7,129.95,736.83,0.19,137.18,Completed
ORD-00076,CUST-0023,PROD-0042,John Smith,2024-02-27,18,90.51,1335.88,0.18,474.37,Pending
ORD-00077,CUST-0226,PROD-0012,Ashley Taylor,2023-03-04,2,841.32,1261.98,0.25,276.5,Pending
ORD-00078,CUST-0247,PROD-0019,Jessica Martinez,2024-02-06,1,604.58,562.26,0.07,157.9,Cancelled
ORD-00079,CUST-0165,PROD-0035,Emily Davis,2023-04-11,5,109.64,433.08,0.21,104.12,Completed
ORD-00080,CUST-0042,PROD-0047,Jessica Martinez,2022-12-05,9,527.02,3889.38,0.18,405.37,Cancelled
ORD-00081,CUST-0173,PROD-0049,James Anderson,2023-08-05,20,371.15,5864.11,0.21,2164.52,Cancelled
ORD-00082,CUST-0103,PROD-0043,John Smith,2022-03-30,5,66.34,291.91,0.12,111.14,Cancelled
ORD-00083,CUST-0061,PROD-0029,John Smith,2023-01-28,11,850.3,8605.08,0.08,2726.65,Cancelled
ORD-00084,CUST-0093,PROD-0045,David Wilson,2023-11-01,4,184.3,648.75,0.12,95.96,Completed
ORD-00085,CUST-0235,PROD-0019,Michael Brown,2023-10-17,8,491.98,3739.02,0.05,523.73,Refunded
ORD-00086,CUST-0156,PROD-0024,Emily Davis,2024-02-05,18,62.67,868.65,0.23,284.23,Pending
ORD-00087,CUST-0194,PROD-0039,Jessica Martinez,2023-11-28,3,678.09,1769.82,0.13,457.41,Completed
ORD-00088,CUST-0029,PROD-0004,Michael Brown,2023-08-01,17,60.58,978.34,0.05,255.34,Cancelled
ORD-00089,CUST-0134,PROD-0029,Ashley Taylor,2024-05-24,7,642.68,3688.99,0.18,909.88,Completed
ORD-00090,CUST-0034,PROD-0033,David Wilson,2023-04-10,19,137.17,2580.25,0.01,615.94,Completed
ORD-00091,CUST-0066,PROD-0001,Sarah Johnson,2023-02-10,19,347.3,6466.79,0.02,1468.67,Completed
ORD-00092,CUST-0240,PROD-0031,James Anderson,2022-03-12,14,105.14,1413.12,0.04,198.73,Cancelled
ORD-00093,CUST-0115,PROD-0025,Sarah Johnson,2023-01-27,18,684.68,11954.55,0.03,4280.76,Pending
ORD-00094,CUST-0101,PROD-0034,David Wilson,2023-07-05,8,464.46,2935.39,0.21,959.44,Refunded
ORD-00095,CUST-0185,PROD-0035,Jessica Martinez,2023-11-21,13,105.03,1078.63,0.21,187.96,Pending
ORD-00096,CUST-0049,PROD-0047,John Smith,2022-10-10,2,596.78,954.84,0.2,215.58,Pending
ORD-00097,CUST-0018,PROD-0007,John Smith,2022-07-31,15,199.82,2547.67,0.15,792.29,Pending
ORD-00098,CUST-0012,PROD-0026,John Smith,2024-01-29,18,262.15,4482.7,0.05,1609.82,Pending
ORD-00099,CUST-0075,PROD-0015,Jessica Martinez,2023-05-31,19,429.69,7510.92,0.08,2098.37,Pending
ORD-00100,CUST-0225,PROD-0010,John Smith,2022-11-06,17,787.1,12577.85,0.06,2391.68,Pending
ORD-00101,CUST-0174,PROD-0028,James Anderson,2023-10-04,2,204.08,310.2,0.24,118.64,Cancelled
ORD-00102,CUST-0107,PROD-0027,Emily Davis,2023-12-15,13,597.12,7374.39,0.05,1927.51,Pending
ORD-00103,CUST-0220,PROD-0046,James Anderson,2022-11-04,15,135.62,1566.43,0.23,420.92,Pending
ORD-00104,CUST-0063,PROD-0017,Sarah Johnson,2023-02-02,3,720.17,1663.6,0.23,589.15,Pending
ORD-00105,CUST-0069,PROD-0025,Emily Davis,2022-02-22,20,776.07,15366.22,0.01,1872.15,Refunded
ORD-00106,CUST-0223,PROD-0022,Sarah Johnson,2022-08-02,1,246.72,234.38,0.05,36.8,Refunded
ORD-00107,CUST-0179,PROD-0039,David Wilson,2022-09-06,13,636.03,6366.64,0.23,1691.13,Refunded
ORD-00108,CUST-0137,PROD-0042,Ashley Taylor,2023-04-23,9,82.51,675.74,0.09,246.54,Completed
ORD-00109,CUST-0185,PROD-0031,James Anderson,2024-04-02,11,145.77,1234.68,0.23,260.78,Completed
ORD-00110,CUST-0222,PROD-0015,James Anderson,2023-07-31,1,417.71,388.47,0.07,147.78,Cancelled
ORD-00111,CUST-0051,PROD-0022,Jessica Martinez,2022-06-06,19,238.36,3577.85,0.21,893.71,Cancelled
ORD-00112,CUST-0211,PROD-0032,Jessica Martinez,2024-02-21,16,426.38,6003.47,0.12,1920.1,Pending
ORD-00113,CUST-0185,PROD-0035,John Smith,2022-05-24,18,107.98,1457.77,0.25,564.41,Completed
ORD-00114,CUST-0172,PROD-0004,Sarah Johnson,2024-04-17,14,59.12,802.92,0.03,232.21,Pending
ORD-00115,CUST-0056,PROD-0033,Ashley Taylor,2022-01-10,2,139.62,237.36,0.15,71.21,Refunded
ORD-00116,CUST-0002,PROD-0035,David Wilson,2022-01-17,1,110.9,110.9,0.0,35.12,Completed
ORD-00117,CUST-0209,PROD-0045,Michael Brown,2023-05-30,6,222.84,1296.94,0.03,167.17,Pending
ORD-00118,CUST-0159,PROD-0034,Jessica Martinez,2022-07-16,12,493.73,5510.05,0.07,1207.08,Refunded
ORD-00119,CUST-0145,PROD-0016,Sarah Johnson,2023-04-16,8,62.29,463.41,0.07,161.46,Completed
ORD-00120,CUST-0104,PROD-0025,Michael Brown,2022-04-06,16,685.15,10852.77,0.01,1116.05,Completed
ORD-00121,CUST-0217,PROD-0028,Sarah Johnson,2023-05-27,11,211.61,2001.82,0.14,715.43,Completed
ORD-00122,CUST-0055,PROD-0045,David Wilson,2022-08-24,16,241.64,3595.61,0.07,1356.44,Completed
ORD-00123,CUST-0238,PROD-0021,James Anderson,2022-07-03,7,303.17,1803.88,0.15,587.48,Completed
ORD-00124,CUST-0042,PROD-0037,James Anderson,2022-11-03,13,231.56,2498.49,0.17,655.03,Pending
ORD-00125,CUST-0177,PROD-0047,Sarah Johnson,2024-03-20,12,440.44,5232.39,0.01,1209.34,Cancelled
ORD-00126,CUST-0197,PROD-0040,David Wilson,2023-09-12,13,37.75,373.01,0.24,73.82,Refunded
ORD-00127,CUST-0059,PROD-0023,James Anderson,2023-05-18,13,92.29,1067.75,0.11,324.5,Completed
ORD-00128,CUST-0159,PROD-0019,Michael Brown,2024-03-01,3,587.18,1726.31,0.02,252.5,Refunded
ORD-00129,CUST-0093,PROD-0007,Sarah Johnson,2022-11-21,10,158.86,1413.84,0.11,464.31,Pending
ORD-00130,CUST-0048,PROD-0028,Sarah Johnson,2022-03-31,18,195.03,3054.12,0.13,400.05,Cancelled
ORD-00131,CUST-0024,PROD-0039,James Anderson,2023-07-22,11,609.77,5231.83,0.22,542.55,Refunded
ORD-00132,CUST-0022,PROD-0047,James Anderson,2024-03-08,8,627.64,4318.19,0.14,651.51,Pending
ORD-00133,CUST-0069,PROD-0020,James Anderson,2022-05-23,5,383.46,1878.94,0.02,432.91,Cancelled
ORD-00134,CUST-0201,PROD-0005,Emily Davis,2023-05-11,8,118.76,779.05,0.18,193.78,Refunded
ORD-00135,CUST-0035,PROD-0020,Jessica Martinez,2022-04-20,13,336.26,4021.63,0.08,1150.42,Refunded
ORD-00136,CUST-0111,PROD-0042,Emily Davis,2022-12-09,5,105.4,484.84,0.08,136.22,Refunded
ORD-00137,CUST-0046,PROD-0026,Emily Davis,2022-11-18,10,322.63,2645.56,0.18,766.87,Cancelled
ORD-00138,CUST-0072,PROD-0026,Michael Brown,2023-01-21,19,253.7,4579.35,0.05,1827.98,Completed
ORD-00139,CUST-0119,PROD-0046,James Anderson,2024-01-15,10,140.05,1106.36,0.21,133.59,Refunded
ORD-00140,CUST-0163,PROD-0020,Sarah Johnson,2022-05-23,5,378.7,1552.66,0.18,522.82,Refunded
ORD-00141,CUST-0123,PROD-0038,James Anderson,2023-09-05,17,108.73,1423.24,0.23,513.63,Completed
ORD-00142,CUST-0248,PROD-0024,Sarah Johnson,2024-03-20,18,70.55,1079.46,0.15,404.06,Pending
ORD-00143,CUST-0171,PROD-0023,James Anderson,2023-11-05,20,77.48,1534.09,0.01,606.09,Cancelled
ORD-00144,CUST-0111,PROD-0007,Emily Davis,2024-03-26,9,152.26,1288.1,0.06,417.42,Refunded
ORD-00145,CUST-0101,PROD-0030,John Smith,2023-01-19,19,849.55,13397.36,0.17,1945.61,Refunded
ORD-00146,CUST-0076,PROD-0027,Michael Brown,2022-04-18,3,826.67,2405.62,0.03,919.43,Cancelled
ORD-00147,CUST-0088,PROD-0030,Ashley Taylor,2022-11-16,17,853.4,12766.88,0.12,3100.42,Refunded
ORD-00148,CUST-0018,PROD-0020,Sarah Johnson,2022-11-23,4,343.1,1358.66,0.01,275.7,Pending
ORD-00149,CUST-0063,PROD-0034,Ashley Taylor,2024-01-29,6,475.48,2624.68,0.08,598.19,Pending
ORD-00150,CUST-0104,PROD-0041,Emily Davis,2024-03-27,14,217.03,2734.52,0.1,878.37,Refunded
ORD-00151,CUST-0110,PROD-0025,Sarah Johnson,2023-08-30,7,570.86,3796.19,0.05,1236.41,Completed
ORD-00152,CUST-0224,PROD-0035,Ashley Taylor,2024-03-29,11,94.11,983.43,0.05,131.96,Cancelled
ORD-00153,CUST-0100,PROD-0040,Michael Brown,2023-09-04,4,30.2,109.94,0.09,38.88,Cancelled
ORD-00154,CUST-0152,PROD-0006,Michael Brown,2023-09-22,11,585.87,6251.22,0.03,1197.82,Cancelled
ORD-00155,CUST-0037,PROD-0033,Michael Brown,2023-12-12,20,135.55,2629.61,0.03,565.66,Refunded
ORD-00156,CUST-0138,PROD-0045,Michael Brown,2023-10-13,6,244.42,1261.22,0.14,311.39,Pending
ORD-00157,CUST-0216,PROD-0029,Emily Davis,2022-11-19,12,806.55,7355.75,0.24,1804.97,Refunded
ORD-00158,CUST-0130,PROD-0042,Ashley Taylor,2023-07-30,16,87.56,1260.86,0.1,443.78,Pending
ORD-00159,CUST-0145,PROD-0002,David Wilson,2022-03-26,8,632.66,4707.02,0.07,858.82,Pending
ORD-00160,CUST-0118,PROD-0037,Sarah Johnson,2024-03-10,16,286.98,3948.8,0.14,528.99,Cancelled
ORD-00161,CUST-0140,PROD-0024,Emily Davis,2024-03-04,2,66.15,107.17,0.19,24.91,Refunded
ORD-00162,CUST-0189,PROD-0042,David Wilson,2022-04-15,10,97.1,757.41,0.22,83.06,Cancelled
ORD-00163,CUST-0210,PROD-0006,Jessica Martinez,2024-06-01,4,531.89,1723.32,0.19,294.83,Refunded
ORD-00164,CUST-0158,PROD-0009,David Wilson,2022-06-19,7,878.5,4919.6,0.2,1333.32,Pending
ORD-00165,CUST-0181,PROD-0019,Sarah Johnson,2022-11-28,9,474.68,3246.81,0.24,825.74,Pending
ORD-00166,CUST-0202,PROD-0027,Michael Brown,2024-02-08,9,826.14,5799.54,0.22,800.72,Pending
ORD-00167,CUST-0183,PROD-0021,David Wilson,2022-05-30,13,434.75,4973.59,0.12,1358.92,Refunded
ORD-00168,CUST-0116,PROD-0005,Jessica Martinez,2023-01-20,3,133.35,360.03,0.1,116.99,Refunded
ORD-00169,CUST-0084,PROD-0038,Jessica Martinez,2023-05-15,3,89.55,220.28,0.18,52.32,Completed
ORD-00170,CUST-0137,PROD-0026,Jessica Martinez,2024-03-25,14,236.9,2620.11,0.21,650.87,Cancelled
ORD-00171,CUST-0141,PROD-0037,John Smith,2022-12-12,16,219.43,2808.66,0.2,1034.28,Completed
ORD-00172,CUST-0161,PROD-0030,James Anderson,2022-04-12,6,605.28,3232.17,0.11,323.87,Pending
ORD-00173,CUST-0233,PROD-0009,David Wilson,2023-12-07,10,910.85,8744.18,0.04,3321.19,Completed
ORD-00174,CUST-0093,PROD-0017,Emily Davis,2023-11-02,6,677.91,4026.79,0.01,1158.43,Refunded
ORD-00175,CUST-0024,PROD-0046,Emily Davis,2023-11-03,7,132.29,814.9,0.12,113.93,Refunded
ORD-00176,CUST-0003,PROD-0045,Michael Brown,2022-01-10,4,193.75,581.25,0.25,131.77,Refunded
ORD-00177,CUST-0059,PROD-0025,David Wilson,2022-03-14,4,596.88,2315.91,0.03,486.96,Pending
ORD-00178,CUST-0199,PROD-0049,Michael Brown,2023-01-27,5,494.48,2422.96,0.02,651.75,Refunded
ORD-00179,CUST-0185,PROD-0014,Ashley Taylor,2022-12-26,5,165.93,638.82,0.23,181.95,Pending
ORD-00180,CUST-0230,PROD-0007,James Anderson,2022-03-30,4,162.81,553.56,0.15,119.13,Cancelled
ORD-00181,CUST-0036,PROD-0016,David Wilson,2024-03-21,3,46.68,131.65,0.06,36.9,Completed
ORD-00182,CUST-0217,PROD-0043,James Anderson,2024-05-18,7,92.86,565.52,0.13,143.0,Cancelled
ORD-00183,CUST-0014,PROD-0016,Sarah Johnson,2023-10-24,4,51.45,193.45,0.06,56.38,Completed
ORD-00184,CUST-0240,PROD-0021,Michael Brown,2023-01-05,19,322.0,5445.08,0.11,1436.99,Refunded
ORD-00185,CUST-0019,PROD-0002,John Smith,2024-02-28,1,582.94,542.13,0.07,60.69,Refunded
ORD-00186,CUST-0074,PROD-0041,Michael Brown,2023-06-03,14,273.17,3403.72,0.11,751.14,Cancelled
ORD-00187,CUST-0080,PROD-0006,Jessica Martinez,2022-03-27,7,548.62,2918.66,0.24,427.91,Refunded
ORD-00188,CUST-0163,PROD-0049,Emily Davis,2023-08-24,3,487.25,1344.8,0.08,310.98,Completed
ORD-00189,CUST-0023,PROD-0028,Michael Brown,2022-09-08,20,166.88,2836.88,0.15,546.91,Completed
ORD-00190,CUST-0182,PROD-0009,David Wilson,2022-01-13,6,850.78,4492.14,0.12,916.45,Pending
ORD-00191,CUST-0033,PROD-0048,John Smith,2023-01-16,9,80.26,592.33,0.18,80.21,Cancelled
ORD-00192,CUST-0110,PROD-0018,Sarah Johnson,2024-04-06,9,76.68,565.93,0.18,154.5,Refunded
ORD-00193,CUST-0131,PROD-0024,Sarah Johnson,2023-04-12,19,52.74,961.9,0.04,141.58,Completed
ORD-00194,CUST-0190,PROD-0033,James Anderson,2022-08-22,1,112.25,105.52,0.06,25.49,Pending
ORD-00195,CUST-0239,PROD-0003,Jessica Martinez,2022-07-03,14,542.12,7134.29,0.06,1244.78,Cancelled
ORD-00196,CUST-0020,PROD-0037,Emily Davis,2024-04-25,17,246.16,3473.38,0.17,402.22,Completed
ORD-00197,CUST-0018,PROD-0030,John Smith,2023-02-15,10,879.82,8094.32,0.08,2152.5,Cancelled
ORD-00198,CUST-0075,PROD-0037,Ashley Taylor,2022-07-25,20,291.61,5482.3,0.06,1153.93,Pending
ORD-00199,CUST-0231,PROD-0035,John Smith,2024-01-21,8,120.51,925.54,0.04,351.45,Pending
ORD-00200,CUST-0089,PROD-0041,James Anderson,2023-07-09,1,286.67,217.87,0.24,21.88,Cancelled
ORD-00201,CUST-0053,PROD-0034,Michael Brown,2022-04-17,14,664.75,8189.7,0.12,966.13,Cancelled
ORD-00202,CUST-0012,PROD-0015,Ashley Taylor,2022-04-06,17,442.79,6774.66,0.1,2497.64,Completed
ORD-00203,CUST-0025,PROD-0033,James Anderson,2023-08-18,13,120.16,1530.81,0.02,413.85,Pending
ORD-00204,CUST-0075,PROD-0017,Jessica Martinez,2022-08-31,13,946.51,10089.82,0.18,3234.86,Refunded
ORD-00205,CUST-0060,PROD-0005,Michael Brown,2022-10-06,5,149.94,607.25,0.19,167.24,Completed
ORD-00206,CUST-0116,PROD-0030,Emily Davis,2022-06-18,4,701.47,2441.13,0.13,950.55,Refunded
ORD-00207,CUST-0119,PROD-0017,John Smith,2022-11-12,3,947.06,2727.53,0.04,834.12,Pending
ORD-00208,CUST-0220,PROD-0021,John Smith,2024-05-05,8,324.65,1973.87,0.24,432.03,Cancelled
ORD-00209,CUST-0210,PROD-0012,Emily Davis,2022-09-24,13,569.18,5845.43,0.21,1559.48,Completed
ORD-00210,CUST-0027,PROD-0009,Michael Brown,2023-04-19,2,657.91,1039.5,0.21,410.36,Pending
ORD-00211,CUST-0103,PROD-0024,Sarah Johnson,2024-04-23,3,70.13,178.83,0.15,31.77,Completed
ORD-00212,CUST-0051,PROD-0042,Jessica Martinez,2022-03-08,5,85.64,419.64,0.02,148.63,Completed
ORD-00213,CUST-0242,PROD-0030,Ashley Taylor,2022-02-13,19,616.38,10422.91,0.11,3307.49,Completed
ORD-00214,CUST-0175,PROD-0028,Ashley Taylor,2023-01-27,7,171.68,925.36,0.23,168.87,Pending
ORD-00215,CUST-0158,PROD-0040,Ashley Taylor,2022-02-05,10,33.22,292.31,0.12,106.64,Completed
ORD-00216,CUST-0072,PROD-0025,Emily Davis,2022-03-31,7,611.57,3596.06,0.16,1219.64,Completed
ORD-00217,CUST-0201,PROD-0046,Jessica Martinez,2023-01-27,18,150.17,2162.5,0.2,439.44,Refunded
ORD-00218,CUST-0047,PROD-0002,David Wilson,2022-10-04,8,518.91,4109.79,0.01,1410.51,Completed
ORD-00219,CUST-0121,PROD-0034,Sarah Johnson,2024-04-08,19,518.31,7385.92,0.25,2896.71,Pending
ORD-00220,CUST-0062,PROD-0018,James Anderson,2023-11-04,2,77.0,124.74,0.19,47.94,Cancelled
ORD-00221,CUST-0217,PROD-0012,Jessica Martinez,2024-05-09,19,612.89,10713.29,0.08,3443.59,Completed
ORD-00222,CUST-0180,PROD-0023,Ashley Taylor,2023-12-22,19,107.39,1958.83,0.04,753.19,Cancelled
ORD-00223,CUST-0126,PROD-0003,Ashley Taylor,2022-06-29,8,438.06,2978.79,0.15,315.69,Completed
ORD-00224,CUST-0235,PROD-0040,Jessica Martinez,2022-12-06,5,27.64,125.76,0.09,19.27,Completed
ORD-00225,CUST-0038,PROD-0038,Jessica Martinez,2022-01-23,5,123.36,499.61,0.19,176.83,Completed
ORD-00226,CUST-0181,PROD-0043,Michael Brown,2023-01-18,4,76.54,281.68,0.08,55.43,Refunded
ORD-00227,CUST-0164,PROD-0032,Jessica Martinez,2024-03-21,6,378.46,1862.05,0.18,500.13,Pending
ORD-00228,CUST-0151,PROD-0012,James Anderson,2023-11-13,10,673.86,6536.48,0.03,2082.84,Completed
ORD-00229,CUST-0155,PROD-0021,Ashley Taylor,2022-07-06,20,449.74,8455.07,0.06,2280.04,Pending
ORD-00230,CUST-0191,PROD-0005,Sarah Johnson,2022-12-06,11,112.17,1184.47,0.04,433.04,Cancelled
ORD-00231,CUST-0003,PROD-0017,John Smith,2023-04-03,3,722.39,1972.13,0.09,662.84,Completed
ORD-00232,CUST-0113,PROD-0047,James Anderson,2023-01-31,6,518.08,2424.63,0.22,601.13,Cancelled
ORD-00233,CUST-0097,PROD-0007,Michael Brown,2023-07-14,19,218.96,3494.67,0.16,1069.89,Refunded
ORD-00234,CUST-0205,PROD-0003,Jessica Martinez,2022-03-17,11,484.09,4952.27,0.07,650.82,Pending
ORD-00235,CUST-0042,PROD-0047,Ashley Taylor,2023-01-20,3,439.66,1213.46,0.08,480.02,Completed
