Product ID,Product Name,Category,Supplier,Purchase Date,Unit Cost,Selling Price,Quantity In Stock,Reorder Level,Warehouse Location,Sales Quantity,Revenue,Profit
PRD-1848,Art Book - Premium,Books,Quality Goods Ltd.,2025-11-25,20.5,49.81,466,28,WH-A2,58,2888.98,1699.98
PRD-1651,Water Bottle - Standard,Sports & Outdoors,Global Traders Inc.,2026-01-15,12.36,31.93,315,54,WH-A2,118,3767.74,2309.26
PRD-1919,Board Game - Ultra,Toys,Elite Imports,2025-03-25,23.98,38.76,462,39,WH-A2,227,8798.52,3355.06
PRD-1724,Basketball - Max,Sports & Outdoors,FastTrack Logistics,2024-12-23,33.44,72.07,296,41,WH-C2,149,10738.43,5755.87
PRD-1050,Phone Case - Ultra,Electronics,FastTrack Logistics,2024-12-06,193.07,312.5,55,96,WH-A2,160,50000.0,19108.8
PRD-2033,Play Dough - Plus,Toys,TechSupply Co.,2026-06-21,46.5,76.9,487,62,WH-C1,293,22531.7,8907.2
PRD-2093,Vitamins - Basic,Health & Beauty,Value Wholesalers,2026-03-03,4.92,8.17,271,55,WH-C2,127,1037.59,412.75
PRD-1071,Webcam HD - Pro,Electronics,Elite Imports,2025-01-17,24.64,60.18,114,28,WH-A1,20,1203.6,710.8
PRD-1590,Rug - Classic,Home & Garden,Value Wholesalers,2025-11-20,33.41,84.86,313,54,WH-C2,272,23081.92,13994.4
PRD-1129,HDMI Cable - Elite,Electronics,Global Traders Inc.,2025-12-04,174.13,377.7,203,91,WH-A2,202,76295.4,41121.14
PRD-1876,Technical Manual - Classic,Books,TechSupply Co.,2026-05-31,20.32,37.74,227,37,WH-D1,0,0.0,0.0
PRD-1261,Cargo Shorts - Elite,Clothing,Elite Imports,2025-02-16,40.07,63.45,67,85,WH-A1,288,18273.6,6733.44
PRD-1159,Cotton T-Shirt - Pro,Clothing,TechSupply Co.,2025-09-18,76.06,201.64,391,52,WH-A2,61,12300.04,7660.38
PRD-1209,Casual Shirt - Lite,Clothing,Global Traders Inc.,2024-08-24,77.66,231.42,341,64,WH-D1,281,65029.02,43206.56
PRD-1114,Monitor Stand - Basic,Electronics,Elite Imports,2026-02-26,90.85,189.49,79,29,WH-A1,135,25581.15,13316.4
PRD-1905,Building Blocks - Deluxe,Toys,Value Wholesalers,2025-09-09,45.67,96.07,183,32,WH-C2,262,25170.34,13204.8
PRD-1491,Plant Pot - Classic,Home & Garden,Prime Distributors,2026-05-21,42.98,80.96,385,89,WH-D1,0,0.0,0.0
PRD-1055,Phone Case - Lite,Electronics,FastTrack Logistics,2025-01-08,169.24,281.73,107,75,WH-B2,164,46203.72,18448.36
PRD-1571,Candle Set - Plus,Home & Garden,Quality Goods Ltd.,2026-02-20,31.01,46.91,215,83,WH-A2,264,12384.24,4197.6
PRD-1561,Picture Frame - Lite,Home & Garden,FastTrack Logistics,2024-08-23,56.16,98.12,377,45,WH-A2,123,12068.76,5161.08
PRD-1057,Laptop Stand - Standard,Electronics,Premium Suppliers,2025-11-25,139.47,218.91,101,38,WH-A1,0,0.0,0.0
PRD-1621,Yoga Mat - Pro,Sports & Outdoors,Prime Distributors,2026-07-17,37.03,61.7,438,60,WH-B1,0,0.0,0.0
PRD-1524,Curtain Rod - Classic,Home & Garden,Elite Imports,2026-02-21,25.12,44.97,395,95,WH-C2,148,6655.56,2937.8
PRD-1399,Dark Chocolate - Deluxe,Food & Beverage,Value Wholesalers,2024-10-07,24.1,46.26,89,91,WH-D1,182,8419.32,4033.12
PRD-2153,Hand Sanitizer - Max,Health & Beauty,Premium Suppliers,2026-07-18,16.59,40.47,205,65,WH-A1,0,0.0,0.0
PRD-2122,Body Lotion - Lite,Health & Beauty,Elite Imports,2024-08-12,30.83,78.08,92,69,WH-B1,222,17333.76,10489.5
PRD-1550,Wall Clock - Lite,Home & Garden,Global Traders Inc.,2026-06-15,44.85,121.54,205,98,WH-C1,146,17744.84,11196.74
PRD-1719,Basketball - Basic,Sports & Outdoors,FastTrack Logistics,2025-01-10,61.87,89.1,19,92,WH-B2,188,16750.8,5119.24
PRD-1433,Coconut Water - Basic,Food & Beverage,FastTrack Logistics,2025-06-23,3.14,6.54,399,47,WH-A1,115,752.1,391.0
PRD-2081,Sunscreen - Deluxe,Health & Beauty,Value Wholesalers,2025-05-12,13.1,24.8,495,88,WH-A2,195,4836.0,2281.5
PRD-1157,Cotton T-Shirt - Deluxe,Clothing,Elite Imports,2025-04-27,37.82,68.96,262,34,WH-C1,56,3861.76,1743.84
PRD-1110,Keyboard - Lite,Electronics,Elite Imports,2026-02-21,97.61,183.62,170,90,WH-D1,193,35438.66,16599.93
PRD-2174,Eye Cream - Elite,Health & Beauty,Quality Goods Ltd.,2025-01-06,29.62,78.76,388,91,WH-B2,187,14728.12,9189.18
PRD-1495,Plant Pot - Lite,Home & Garden,Quality Goods Ltd.,2024-08-01,44.02,87.07,301,89,WH-C2,100,8707.0,4305.0
PRD-1381,Granola - Classic,Food & Beverage,FastTrack Logistics,2026-01-26,2.71,4.67,231,91,WH-B1,127,593.09,248.92
PRD-1949,Remote Control Car - Deluxe,Toys,Premium Suppliers,2025-10-05,35.01,81.05,293,37,WH-B1,266,21559.3,12246.64
PRD-1383,Granola - Max,Food & Beverage,Prime Distributors,2025-06-08,10.56,20.11,330,30,WH-A2,132,2654.52,1260.6
PRD-1661,Camping Tent - Premium,Sports & Outdoors,Premium Suppliers,2026-06-28,26.1,55.03,364,45,WH-B2,46,2531.38,1330.78
PRD-1108,Keyboard - Max,Electronics,Elite Imports,2026-02-25,85.96,206.84,260,37,WH-C1,141,29164.44,17044.08
PRD-2010,Card Game - Max,Toys,Global Traders Inc.,2025-09-29,24.82,52.9,467,66,WH-A2,0,0.0,0.0
PRD-1689,Bike Helmet - Classic,Sports & Outdoors,Elite Imports,2026-02-16,27.12,68.03,375,87,WH-C1,167,11361.01,6831.97
PRD-1757,Binoculars - Max,Sports & Outdoors,Global Traders Inc.,2025-12-28,48.36,114.8,377,71,WH-D1,294,33751.2,19533.36
PRD-1082,Power Bank - Pro,Electronics,TechSupply Co.,2026-01-09,30.84,66.74,250,91,WH-C1,243,16217.82,8723.7
PRD-1278,Windbreaker - Deluxe,Clothing,Quality Goods Ltd.,2025-12-22,70.6,141.16,489,21,WH-B2,97,13692.52,6844.32
PRD-2019,Toy Train - Classic,Toys,Elite Imports,2025-08-28,37.06,75.06,247,83,WH-A2,297,22292.82,11286.0
PRD-1363,Olive Oil - Lite,Food & Beverage,FastTrack Logistics,2026-03-25,19.74,28.1,413,74,WH-C2,32,899.2,267.52
PRD-1992,Science Kit - Standard,Toys,TechSupply Co.,2025-12-04,49.01,94.29,38,51,WH-C2,168,15840.72,7607.04
PRD-2056,Face Cream - Lite,Health & Beauty,Value Wholesalers,2025-11-28,11.7,22.97,88,21,WH-A1,161,3698.17,1814.47
PRD-1562,Candle Set - Premium,Home & Garden,FastTrack Logistics,2025-12-01,16.15,29.47,316,65,WH-A2,54,1591.38,719.28
PRD-1156,Cotton T-Shirt - Standard,Clothing,Global Traders Inc.,2026-02-14,19.33,46.91,345,30,WH-A1,217,10179.47,5984.86
PRD-1978,Stuffed Animal - Plus,Toys,Prime Distributors,2024-12-31,49.95,118.8,107,98,WH-C2,162,19245.6,11153.7
PRD-1334,Protein Bars - Basic,Food & Beverage,Quality Goods Ltd.,2024-11-28,17.85,37.29,312,100,WH-D1,71,2647.59,1380.24
PRD-1466,LED Bulb - Basic,Home & Garden,FastTrack Logistics,2025-06-24,42.94,91.11,215,41,WH-D1,30,2733.3,1445.1
PRD-1175,Denim Jeans - Plus,Clothing,Premium Suppliers,2024-12-04,55.78,160.37,158,70,WH-A1,43,6895.91,4497.37
PRD-1886,Comic Book - Ultra,Books,Quality Goods Ltd.,2024-12-04,21.48,48.15,5,80,WH-B1,165,7944.75,4400.55
PRD-1635,Dumbbells - Elite,Sports & Outdoors,Prime Distributors,2026-06-08,93.18,156.56,350,67,WH-B2,43,6732.08,2725.34
PRD-1999,Science Kit - Max,Toys,Elite Imports,2025-04-04,40.78,97.05,317,32,WH-B2,13,1261.65,731.51
PRD-1637,Dumbbells - Plus,Sports & Outdoors,Global Traders Inc.,2025-04-19,52.41,94.25,378,88,WH-B1,279,26295.75,11673.36
PRD-2125,Hair Oil - Deluxe,Health & Beauty,Global Traders Inc.,2025-12-23,38.76,103.37,92,96,WH-D1,2,206.74,129.22
PRD-1102,Keyboard - Deluxe,Electronics,Prime Distributors,2025-05-28,143.33,235.9,483,71,WH-B1,281,66287.9,26012.17
PRD-2055,Face Cream - Plus,Health & Beauty,Global Traders Inc.,2025-08-23,15.62,36.16,319,46,WH-D1,202,7304.32,4149.08
PRD-1927,Action Figure - Deluxe,Toys,Quality Goods Ltd.,2024-08-15,38.72,83.91,66,42,WH-B1,251,21061.41,11342.69
PRD-1918,Board Game - Pro,Toys,Elite Imports,2026-02-25,34.24,66.28,320,88,WH-C2,154,10207.12,4934.16
PRD-1971,Stuffed Animal - Deluxe,Toys,Value Wholesalers,2025-10-21,7.73,15.19,208,28,WH-A1,208,3159.52,1551.68
PRD-1045,Phone Case - Premium,Electronics,Value Wholesalers,2026-02-15,186.27,295.07,83,42,WH-C1,12,3540.84,1305.6
PRD-1430,Coconut Water - Premium,Food & Beverage,Prime Distributors,2025-12-30,21.25,33.99,233,26,WH-A2,101,3432.99,1286.74
PRD-1732,Fishing Rod - Ultra,Sports & Outdoors,Value Wholesalers,2025-10-01,93.45,181.16,347,60,WH-A1,21,3804.36,1841.91
PRD-1802,Science Fiction - Plus,Books,FastTrack Logistics,2025-06-07,19.67,37.54,182,31,WH-A1,99,3716.46,1769.13
PRD-1234,Dress Shirt - Deluxe,Clothing,Elite Imports,2024-12-24,29.58,80.56,188,62,WH-C2,213,17159.28,10858.74
PRD-1854,Art Book - Classic,Books,Global Traders Inc.,2025-08-13,10.38,24.84,271,80,WH-C1,177,4396.68,2559.42
PRD-2141,Face Mask - Elite,Health & Beauty,Value Wholesalers,2025-10-23,5.9,14.41,498,67,WH-C1,127,1830.07,1080.77
PRD-1606,Mirror - Premium,Home & Garden,Premium Suppliers,2025-03-31,20.14,51.98,468,90,WH-B1,271,14086.58,8628.64
PRD-1717,Basketball - Standard,Sports & Outdoors,Elite Imports,2024-08-10,64.4,123.06,92,78,WH-D1,282,34702.92,16542.12
PRD-1333,Protein Bars - Deluxe,Food & Beverage,Elite Imports,2025-08-01,21.83,32.08,443,35,WH-B1,121,3881.68,1240.25
PRD-1052,Phone Case - Elite,Electronics,Value Wholesalers,2025-02-06,186.23,362.43,368,45,WH-A1,35,12685.05,6167.0
PRD-2180,Serum - Deluxe,Health & Beauty,FastTrack Logistics,2025-10-22,23.88,41.13,23,88,WH-C2,20,822.6,345.0
PRD-2121,Body Lotion - Plus,Health & Beauty,Global Traders Inc.,2026-03-21,21.61,51.2,260,48,WH-A1,0,0.0,0.0
PRD-1728,Fishing Rod - Standard,Sports & Outdoors,Premium Suppliers,2026-02-25,63.6,151.75,428,83,WH-A1,211,32019.25,18599.65
PRD-1232,Dress Shirt - Premium,Clothing,Prime Distributors,2025-08-16,65.89,150.16,76,97,WH-C2,71,10661.36,5983.17
PRD-1452,Spices - Premium,Food & Beverage,FastTrack Logistics,2025-02-06,15.72,26.26,454,37,WH-B2,250,6565.0,2635.0
PRD-1211,Yoga Pants - Standard,Clothing,Quality Goods Ltd.,2025-12-30,65.03,120.64,252,23,WH-A1,293,35347.52,16293.73
PRD-1141,Charger Adapter - Max,Electronics,Premium Suppliers,2026-01-26,64.09,93.07,215,87,WH-A1,32,2978.24,927.36
PRD-1395,Honey - Plus,Food & Beverage,Elite Imports,2026-04-22,3.29,6.19,10,87,WH-A1,169,1046.11,490.1
PRD-1781,Cookbook - Lite,Books,Value Wholesalers,2025-07-09,19.92,51.5,0,100,WH-A2,0,0.0,0.0
PRD-1797,Science Fiction - Pro,Books,TechSupply Co.,2024-12-12,6.41,12.59,94,46,WH-B1,17,214.03,105.06
PRD-2102,Lip Balm - Standard,Health & Beauty,Global Traders Inc.,2024-08-14,15.98,28.62,294,96,WH-D1,0,0.0,0.0
PRD-1210,Yoga Pants - Premium,Clothing,FastTrack Logistics,2026-02-12,59.25,171.29,326,42,WH-B1,260,44535.4,29130.4
PRD-1924,Board Game - Lite,Toys,Value Wholesalers,2026-03-26,27.27,66.51,177,77,WH-B2,10,665.1,392.4
PRD-1744,Backpack - Classic,Sports & Outdoors,Global Traders Inc.,2025-11-09,79.95,113.73,254,39,WH-C1,0,0.0,0.0
PRD-1307,Beanie - Plus,Clothing,Value Wholesalers,2025-08-20,39.7,85.19,421,96,WH-D1,164,13971.16,7460.36
PRD-1515,Storage Box - Max,Home & Garden,Quality Goods Ltd.,2025-11-07,15.69,27.23,409,92,WH-C1,281,7651.63,3242.74
PRD-1790,Self-Help Guide - Max,Books,Global Traders Inc.,2026-02-22,16.4,46.33,266,100,WH-C2,0,0.0,0.0
PRD-1199,Casual Shirt - Premium,Clothing,Value Wholesalers,2025-04-29,72.41,150.61,498,43,WH-B2,254,38254.94,19862.8
PRD-1912,Building Blocks - Plus,Toys,Global Traders Inc.,2025-02-23,5.73,12.84,236,42,WH-D1,201,2580.84,1429.11
PRD-1290,Athletic Socks - Basic,Clothing,Prime Distributors,2026-01-08,52.62,98.85,181,54,WH-A2,40,3954.0,1849.2
PRD-2037,Kite - Deluxe,Toys,Global Traders Inc.,2026-05-26,21.59,32.62,167,72,WH-B2,56,1826.72,617.68
PRD-1377,Granola - Deluxe,Food & Beverage,Premium Suppliers,2025-04-16,8.25,12.04,103,37,WH-B1,299,3599.96,1133.21
PRD-1951,Remote Control Car - Pro,Toys,Value Wholesalers,2025-05-28,8.69,13.58,454,36,WH-D1,228,3096.24,1114.92
PRD-1980,Art Kit - Premium,Toys,Premium Suppliers,2025-04-09,48.15,88.04,467,37,WH-A2,1,88.04,39.89
PRD-1219,Yoga Pants - Plus,Clothing,TechSupply Co.,2026-06-24,13.85,40.48,394,93,WH-D1,107,4331.36,2849.41
PRD-1454,Spices - Deluxe,Food & Beverage,Quality Goods Ltd.,2026-03-11,6.86,9.72,258,41,WH-C2,19,184.68,54.34
PRD-1631,Dumbbells - Basic,Sports & Outdoors,Value Wholesalers,2024-08-08,21.73,33.94,286,45,WH-D1,292,9910.48,3565.32
PRD-1164,Cotton T-Shirt - Plus,Clothing,FastTrack Logistics,2025-08-10,23.95,63.91,39,85,WH-C2,271,17319.61,10829.16
PRD-1817,Biography - Deluxe,Books,Global Traders Inc.,2026-02-02,17.68,49.88,423,58,WH-C1,185,9227.8,5957.0
PRD-2184,Serum - Classic,Health & Beauty,Premium Suppliers,2025-10-10,10.36,28.63,275,94,WH-A2,195,5582.85,3562.65
PRD-1529,Throw Pillow - Premium,Home & Garden,FastTrack Logistics,2025-10-27,36.82,82.52,192,68,WH-D1,39,3218.28,1782.3
PRD-2137,Face Mask - Basic,Health & Beauty,Quality Goods Ltd.,2026-04-07,32.18,53.44,269,59,WH-B2,250,13360.0,5315.0
PRD-2110,Lip Balm - Plus,Health & Beauty,TechSupply Co.,2025-08-16,9.5,23.1,434,48,WH-D1,26,600.6,353.6
PRD-1097,Mouse Pad - Max,Electronics,Prime Distributors,2025-09-12,125.08,286.32,471,56,WH-D1,239,68430.48,38536.36
PRD-1804,History Book - Premium,Books,Value Wholesalers,2025-03-08,11.58,28.34,483,27,WH-A2,184,5214.56,3083.84
PRD-1032,Bluetooth Speaker - Plus,Electronics,Premium Suppliers,2026-06-02,123.07,234.25,436,87,WH-A1,260,60905.0,28906.8
PRD-1245,Hoodie - Deluxe,Clothing,FastTrack Logistics,2026-04-03,52.33,124.56,124,26,WH-A2,271,33755.76,19574.33
PRD-2024,Play Dough - Premium,Toys,TechSupply Co.,2025-04-27,15.52,33.3,183,30,WH-A2,256,8524.8,4551.68
PRD-1310,Organic Coffee - Standard,Food & Beverage,Prime Distributors,2025-01-06,2.62,5.19,482,46,WH-C2,149,773.31,382.93
PRD-1833,Children Story - Elite,Books,Quality Goods Ltd.,2025-06-01,10.85,30.35,96,28,WH-C1,243,7375.05,4738.5
PRD-1589,Rug - Ultra,Home & Garden,Value Wholesalers,2026-02-06,44.32,103.7,424,68,WH-A2,40,4148.0,2375.2
PRD-1295,Athletic Socks - Max,Clothing,TechSupply Co.,2025-09-04,9.13,16.53,73,70,WH-A2,153,2529.09,1132.2
PRD-1440,Coconut Water - Lite,Food & Beverage,Prime Distributors,2026-06-27,17.07,37.52,132,73,WH-C2,18,675.36,368.1
PRD-1424,Energy Drink - Ultra,Food & Beverage,Elite Imports,2026-01-28,8.33,12.62,311,71,WH-A1,0,0.0,0.0
PRD-1089,Mouse Pad - Premium,Electronics,FastTrack Logistics,2025-03-20,96.49,146.78,26,52,WH-B2,244,35814.32,12270.76
PRD-1594,Rug - Lite,Home & Garden,TechSupply Co.,2025-12-13,23.81,45.36,409,83,WH-B2,237,10750.32,5107.35
PRD-1193,Winter Jacket - Ultra,Clothing,TechSupply Co.,2025-03-29,11.13,23.15,191,52,WH-B2,182,4213.3,2187.64
PRD-1241,Dress Shirt - Plus,Clothing,Quality Goods Ltd.,2024-12-29,29.49,85.88,152,56,WH-B1,250,21470.0,14097.5
PRD-1573,Vase - Premium,Home & Garden,TechSupply Co.,2025-11-05,31.21,72.37,230,62,WH-A2,184,13316.08,7573.44
PRD-2080,Sunscreen - Standard,Health & Beauty,Global Traders Inc.,2024-07-25,37.01,74.65,300,30,WH-C2,96,7166.4,3613.44
PRD-1287,Athletic Socks - Premium,Clothing,Quality Goods Ltd.,2025-04-13,34.87,84.62,341,98,WH-C1,249,21070.38,12387.75
PRD-1328,Green Tea - Max,Food & Beverage,Premium Suppliers,2025-03-14,5.14,10.55,493,91,WH-A1,253,2669.15,1368.73
PRD-1483,Garden Hose - Plus,Home & Garden,Prime Distributors,2026-07-19,34.17,53.41,478,75,WH-B2,247,13192.27,4752.28
PRD-1644,Jump Rope - Ultra,Sports & Outdoors,Quality Goods Ltd.,2025-10-14,83.07,178.68,449,69,WH-C1,15,2680.2,1434.15
PRD-1586,Rug - Deluxe,Home & Garden,Elite Imports,2025-07-14,27.67,47.11,5,20,WH-B1,69,3250.59,1341.36
PRD-1834,Children Story - Max,Books,Premium Suppliers,2026-07-10,29.97,68.58,53,70,WH-A2,43,2948.94,1660.23
PRD-1765,Mystery Novel - Ultra,Books,Quality Goods Ltd.,2024-10-20,20.8,41.33,99,34,WH-B2,242,10001.86,4968.26
PRD-1599,Lamp - Pro,Home & Garden,Global Traders Inc.,2025-03-18,40.12,70.54,454,26,WH-B1,111,7829.94,3376.62
PRD-1011,Wireless Headphones - Lite,Electronics,Premium Suppliers,2024-09-20,107.36,253.54,329,78,WH-A2,71,18001.34,10378.78
PRD-1462,Spices - Lite,Food & Beverage,Global Traders Inc.,2026-04-11,22.81,43.69,233,57,WH-C2,25,1092.25,522.0
PRD-1378,Granola - Basic,Food & Beverage,Global Traders Inc.,2026-04-06,5.78,10.25,208,35,WH-A2,106,1086.5,473.82
PRD-1997,Science Kit - Classic,Toys,Elite Imports,2025-09-18,32.48,62.75,52,27,WH-A1,150,9412.5,4540.5
PRD-1060,Laptop Stand - Pro,Electronics,Prime Distributors,2024-08-10,110.82,150.74,127,35,WH-D1,237,35725.38,9461.04
PRD-2007,Card Game - Ultra,Toys,Premium Suppliers,2025-09-20,23.84,39.63,232,25,WH-C1,1,39.63,15.79
PRD-1293,Athletic Socks - Classic,Clothing,Elite Imports,2025-05-05,54.43,108.69,500,32,WH-D1,21,2282.49,1139.46
PRD-1827,Children Story - Standard,Books,Premium Suppliers,2025-02-26,24.08,59.19,258,92,WH-A2,0,0.0,0.0
PRD-1421,Energy Drink - Deluxe,Food & Beverage,Elite Imports,2026-07-11,20.09,38.14,267,73,WH-D1,76,2898.64,1371.8
PRD-1911,Building Blocks - Max,Toys,Value Wholesalers,2026-04-18,25.91,57.53,416,52,WH-B2,299,17201.47,9454.38
PRD-2154,Hand Sanitizer - Plus,Health & Beauty,Value Wholesalers,2026-01-02,7.05,15.29,78,72,WH-B2,249,3807.21,2051.76
PRD-1889,Comic Book - Max,Books,TechSupply Co.,2025-02-22,19.73,39.92,202,67,WH-B1,286,11417.12,5774.34
PRD-1271,Polo Shirt - Classic,Clothing,Quality Goods Ltd.,2024-12-11,30.96,74.21,344,61,WH-D1,73,5417.33,3157.25
PRD-1838,Travel Guide - Standard,Books,Elite Imports,2025-10-11,6.98,15.61,62,52,WH-C1,118,1841.98,1018.34
PRD-1567,Candle Set - Ultra,Home & Garden,Elite Imports,2024-08-17,5.46,12.97,194,94,WH-B1,185,2399.45,1389.35
PRD-1329,Green Tea - Plus,Food & Beverage,Value Wholesalers,2025-03-07,11.56,23.95,250,41,WH-C2,0,0.0,0.0
PRD-1755,Binoculars - Classic,Sports & Outdoors,Elite Imports,2026-06-07,31.84,69.36,7,42,WH-C1,157,10889.52,5890.64
PRD-2113,Body Lotion - Standard,Health & Beauty,FastTrack Logistics,2024-08-09,37.23,89.78,280,70,WH-B1,0,0.0,0.0
PRD-1425,Energy Drink - Classic,Food & Beverage,Premium Suppliers,2025-11-22,3.13,5.57,137,67,WH-C2,0,0.0,0.0
PRD-2003,Card Game - Standard,Toys,FastTrack Logistics,2025-01-15,39.9,65.73,158,97,WH-C1,188,12357.24,4856.04
PRD-1972,Stuffed Animal - Basic,Toys,Quality Goods Ltd.,2025-10-21,29.93,62.44,51,51,WH-A1,64,3996.16,2080.64
PRD-1309,Organic Coffee - Premium,Food & Beverage,Quality Goods Ltd.,2025-07-03,8.45,17.14,186,34,WH-B1,102,1748.28,886.38
PRD-1486,Plant Pot - Standard,Home & Garden,Elite Imports,2026-03-09,12.6,28.77,453,85,WH-D1,280,8055.6,4527.6
